query,res_queries,answer
虾青素的服用方法是什么,虾青素的服用方法是什么,虾青素凝胶糖果：每天一粒；随餐，或餐后15分钟，温水吞服即可；注意：孕期和哺乳期不建议服用哦储存方法:密封、避光、置阴凉干燥处保存
富铁软糖的功效及适用人群是什么,"富铁软糖的功效是什么
富铁软糖的适用人群是什么",富铁软糖的主要功效是补充铁元素，具有补铁和补气血的作用，有助于预防和改善缺铁性贫血，提高免疫力和抗疲劳能力，同时可提升皮肤、改善色斑、促进骨骼健康。其适用人群包括3岁以上儿童、成人、备孕及哺乳期人群，特别适合手脚冰凉、月经不调、熬夜面色差、蹲起头晕、气血不足、疲劳、健身后精神不佳、贫血者、对血糖敏感人群及需要恢复体力的人群，哺乳期女性、备孕女性及更年期女性更推荐使用，孕妇需咨询医生后食用。此外，熬夜耗元气、身体疲劳、例假血流失、铁流失高峰期、常喝咖啡奶茶导致铁加速流失的人群也适用。每颗含铁4.6mg，每天推荐食用3粒，采用5重优质有机铁源，并配合血蛋白多肽、花青素和维生素C促进铁吸收。
白密码的建议用量、饮用方式和注意事项是什么,"白密码的建议用量是什么
白密码的饮用方式是什么
白密码的注意事项是什么","白密码的建议用量为每天1瓶，饮用方式为直接饮用，开启后需及时饮用或于0-6°C冷藏，并在24小时内饮用完毕。注意事项包括鱼类过敏、肾功能代谢异常者不能饮用，备孕期、怀孕期、哺乳期不建议饮用，癌症、肿瘤患者建议咨询医生。
本品如有沉淀或颜色变化为正常现象，请摇匀后饮用。
若发现破损，请勿饮用。"
升级肽EGCG饮的禁忌人群和忌口要求有哪些,"升级肽EGCG饮的禁忌人群有哪些
升级肽EGCG饮的忌口要求有哪些",升级肽EGCG饮的禁忌人群包括备孕、孕期、哺乳期女性，鱼类过敏者，肾功能代谢异常者，以及癌症、肿瘤患者（需咨询医生）。忌口要求包括避免酒类、浓茶类、药物类、咖啡类，并建议与这些食物或饮品间隔2-4小时以上饮用。
胶原蛋白肽的使用方法、建议用量及饮用方式是什么,"胶原蛋白肽的使用方法是什么
胶原蛋白肽的建议用量是什么
胶原蛋白肽的饮用方式是什么",胶原蛋白肽的使用方法为每天1支，建议睡前饮用，如不吃晚饭可在白天饭后饮用，可直接拧开喝或兑60℃以下温水。25岁及以上、经期、压力大或熬夜人群建议每天1-2支，白天餐后半小时加睡前1支。备孕期、孕期、哺乳期不建议使用，肾脏代谢异常者不能喝，癌症、肿瘤病史建议咨询医生，对鱼、虾、蟹等水产品过敏者不建议使用。饮酒或服用中药后需间隔两小时再饮用，建议间隔2小时以上忌口酒类、浓茶类、药物类、咖啡类。EGCG升级肽建议每天一瓶，每晚睡前或白天饭后饮用；经典款胶原蛋白肽添加了GABA，建议每晚睡前喝。
升级肽EGCG饮的使用注意事项、禁忌人群及建议用量是什么,"升级肽EGCG饮的使用注意事项是什么
升级肽EGCG饮的禁忌人群是什么
升级肽EGCG饮的建议用量是什么",EGCG升级肽的使用注意事项包括鱼类、海鲜类过敏者不能饮用，肾功能代谢异常者不能饮用，备孕期、怀孕期、哺乳期不建议饮用，高血糖患者建议咨询医生，癌症、肿瘤患者建议咨询医生，避免与酒类、浓茶、药物、咖啡同服，最好间隔2小时以上。答案文本中未提及建议用量。
益生菌的服用方法和注意事项是什么,"益生菌的服用方法是什么
益生菌的注意事项是什么","益生菌的服用方法和注意事项包括：每天早晨空腹或饭后半小时用40度以下的温水冲服1-2袋。服用抗生素期间需间隔2-3小时，腹泻患者不建议使用。富含膳食纤维有助于维持正常肠道功能，如果没有便秘可每周喝2-3次而非天天饮用。本产品不能代替特殊医学用途配方食品、保健食品等特殊食品。
本产品不能代替特殊医学用途配方食品、婴幼儿配方食品、保健食品等特殊食品。
饭后半小时直接食用，益生菌存活率更高。
若同时服用抗生素类药物，请至少间隔2小时。
开启铝膜后请尽快食用。"
服用胶原蛋白肽维C饮期间有哪些注意事项和忌口,"服用胶原蛋白肽维C饮期间有哪些注意事项
服用胶原蛋白肽维C饮期间有哪些忌口",服用胶原蛋白肽维C饮期间，对鱼、虾、蟹等水产品过敏者不能饮用；肾脏代谢异常者不能饮用；癌症、肿瘤体质者建议咨询医生后再决定是否饮用；糖尿病患者需根据热量遵医嘱饮用；高血糖者建议咨询医生。饮用期间需忌口酒类、浓茶类、药物类、咖啡类，建议与这些物质间隔2-4小时以上服用，喝酒或吃中药后需间隔2小时以上再饮用。经期、备孕期、怀孕期、哺乳期可以放心饮用，产品不含激素、类雌激素；30岁及以上、熬夜、压力大、睡眠不好、自身要求较高人群建议每天喝2支。开启后需冷藏(0-6℃)并在24小时内饮用完毕。
经期可以喝胶原蛋白肽和亢唐饮吗,"经期可以喝胶原蛋白肽吗
经期可以喝亢唐饮吗",经期可以正常喝胶原蛋白肽和亢唐饮。胶原蛋白肽和亢唐饮是食品级产品，不含雌激素和类雌激素，经期可以正常饮用，且经期胶原蛋白流失加快，建议坚持饮用。
每瓶胶原蛋白肽和亢唐饮的热量是多少，减脂期可以饮用吗,"每瓶胶原蛋白肽的热量是多少
每瓶亢唐饮的热量是多少
减脂期可以饮用胶原蛋白肽吗
减脂期可以饮用亢唐饮吗",每瓶胶原蛋白肽和亢唐饮的热量都不到50大卡，约等于半个苹果，减脂期可以放心饮用。
经典肽和升级肽在成分、效果及版本上的区别是什么,"经典肽和升级肽在成分上的区别是什么
经典肽和升级肽在效果上的区别是什么
经典肽和升级肽在版本上的区别是什么","经典肽和升级肽在成分、效果及版本上的区别如下：经典肽是较早版本的基础款胶原蛋白产品，每瓶含6000mg鱼胶原蛋白肽、100mg弹性蛋白肽和专利成分【胶原护盾】，仅补充胶原蛋白，无玻尿酸原料，适合25岁以下、20岁左右人群或孕期、备孕、哺乳期人群日常补充，每天需喝两瓶；升级肽是2.0最新版本，每瓶含8000mg鱼胶原蛋白肽、100mg鱼弹性蛋白肽，并额外添加500mg壳寡糖、100mgEGCG、100mg透明质酸钠（玻尿酸）等成分，胶原蛋白含量更高，新增玻尿酸合成原料，既能补充胶原蛋白又能深层补水锁水，效果更好，适合25岁以上、40岁左右人群或非特殊生理阶段的抗衰老需求，每天喝一瓶即可，且喝1瓶相当于经典肽喝2瓶，在皮肤光泽度、含水量、紧致度、弹性、细纹和粗糙度改善方面效果优于经典肽。
明胶外皮在高温下易发生变形或黏连，是产品特性，请在开封后尽快食用。"
胶原蛋白和玻尿酸从什么时候开始流失，流失速度如何变化,"胶原蛋白从什么时候开始流失
玻尿酸从什么时候开始流失
胶原蛋白的流失速度如何变化
玻尿酸的流失速度如何变化",人体从25岁起胶原蛋白开始以1.5%的年流失速率加速流失，到45岁时流失速率约为30%，流失速度显著增加
虾青素的作用和功效是什么,虾青素的作用和功效是什么,虾青素具有抗氧化作用，能清除自由基，延缓细胞衰老，减少皮肤皱纹，改善皮肤弹性与光泽，同时具有抗炎、抗糖化和修复细胞的功能。它有助于保护皮肤免受紫外线刺激，提亮肤色，改善皮肤暗黄暗沉，延缓皮肤衰老，防止胶原流失、弹性下降和色素沉淀，具有防晒、美白、抗氧、抗皱四大功效。虾青素还能保护眼睛和肝脏健康，防止辐射损伤，促进毛发生长。其抗氧化能力是维生素C的6000倍，被称为“抗氧化之王”或“御氧界珠峰”，配合肽或升级肽一起服用效果更好。每粒含12mg虾青素，来自雨生红球藻，采用高纯度左旋结构，脂溶性好，易吸收，建议每天随餐或餐后15分钟温水吞服一粒。
复合益生菌固体饮料的使用方法和注意事项是什么,复合益生菌固体饮料的使用方法和注意事项是什么,"复合益生菌固体饮料的使用方法是每天早晨空腹或饭后半小时用40度以下或60度以下的温水100-150ml冲服1-2袋，25岁以上建议每天饮用2支，睡前饮用，备孕、孕期、哺乳期都可以喝，用于调节肠道菌群，不需要每天服用。注意事项包括腹泻患者不建议使用，肾功能异常不建议饮用，癌症、肿瘤体质需咨询医生，服用抗生素期间需间隔2-3小时，建议在服用抗生素2-3小时后食用。
本产品不能代替特殊医学用途配方食品、婴幼儿配方食品、保健食品等特殊食品。
饭后半小时直接食用，益生菌存活率更高。
若同时服用抗生素类药物，请至少间隔2小时。
开启铝膜后请尽快食用。"
口服保养分为哪几个阶段，各阶段的效果和周期是怎样的,"口服保养分为哪几个阶段
口服保养各阶段的效果是怎样的
口服保养各阶段的周期是怎样的",口服保养分为四个阶段，各阶段的效果和周期如下：2-3个月为基础补充期，1-2个周期皮肤通道打开，状态改善；4-6个月为快速提升期，3-4个周期稳定肌肤状态；7-12个月为维稳储能期，6个周期后多维度抗衰，巩固效果；1-2年为最佳巩固期。
使用产品后多久能看到明显效果,使用产品后多久能看到明显效果,使用产品后，1-2个周期（约2-4个月）皮肤通道打开，状态改善，为基础补充期；3-4个周期（约4-6个月）稳定肌肤状态，部分人群开始出现肉眼可见效果；6个周期后多维度抗衰，巩固效果。28天一个皮肤新陈代谢周期后，皮肤光泽度、含水量、弹性等数据已有改善；8周一个皮肤代谢周期结束后，皮肤光泽度、含水量、弹性提升，细纹和皱纹减少；3个代谢周期（约90天或240天）可见明显变化，效果从真皮层到肉眼可见。大部分老客户反馈坚持4-6个月后有肉眼可见的变化，肉眼可见的变化需要4~6个代谢周期，大约4~6个月。4-6个月为快速提升期，7-12个月为维稳储能期，1-2年为巩固维稳阶段，建议以年为单位观察明显改善，低聚肽需长期坚持，给内服多一些耐心。约1个月后开始显现效果。
美白淡斑精华液的使用方法、注意事项及禁忌人群有哪些,"美白淡斑精华液的使用方法有哪些
美白淡斑精华液的注意事项有哪些
美白淡斑精华液的禁忌人群有哪些",美白淡斑精华液的使用方法、注意事项及禁忌人群包括：孕妇及哺乳期人群应遵医嘱使用；建议晚上使用，用在爽肤水和乳液之间，每次使用1支，前3-5天建立耐受，无不适后再全脸使用；前期未用完的精华可放冰箱保存；如发现皮肤不适或使用后出现不适，请停止使用。
升级肽的注意事项有哪些,升级肽的注意事项有哪些,升级肽的注意事项包括：鱼虾类、鱼类、海鲜类、鱼、虾、蟹等水产品过敏者不能饮用；肾功能代谢异常者不能饮用；备孕期、怀孕期、哺乳期不建议饮用；癌症、肿瘤患者建议咨询医生后再决定是否饮用；高血糖、糖尿病患者需根据热量遵医嘱饮用；饮酒后需间隔2-3小时（少量）或24小时（大量）再饮用；若正在服药，建议与药物间隔2-4小时服用；每瓶热量不到50大卡，减脂期可放心饮用；经期可以正常饮用。
胶原蛋白肽的最佳饮用时间和用量是什么,胶原蛋白肽的最佳饮用时间和用量是什么,睡前30分钟—60分钟直接饮用，每日不超过1瓶。根据自己的口感可以直接饮用或兑80-100ml温水，水温建议不超过60℃。(注：肠胃敏感（辛辣冷刺激后腹部不适、腹泻）着建议兑温水服用)
升级款胶原蛋白肽饮用期间需要忌口哪些食物或饮品,"升级款胶原蛋白肽饮用期间需要忌口哪些食物
升级款胶原蛋白肽饮用期间需要忌口哪些饮品",升级款胶原蛋白肽饮用期间需要忌口酒类、浓茶类、药物类、咖啡类，建议间隔2小时以上服用。
哪些人群不适合饮用胶原蛋白肽维C饮,哪些人群不适合饮用胶原蛋白肽维C饮,对鱼、虾、蟹等水产品过敏者不能饮用，肾脏代谢异常（肾功能异常）者不能饮用，癌症、肿瘤体质者建议咨询医生后再决定是否饮用，糖尿病患者需根据热量遵医嘱饮用，备孕期、怀孕期、哺乳期女性建议咨询医生后再决定是否饮用，喝酒或吃中药后需间隔两小时再饮用。
白密码有哪些注意事项,白密码的注意事项是什么,"鱼类过敏、肾功能代谢异常者不能饮用白密码；备孕期、怀孕期、哺乳期不建议饮用；癌症、肿瘤患者建议咨询医生。
本品如有沉淀或颜色变化为正常现象，请摇匀后饮用。
若发现破损，请勿饮用。"
如何加快胶原蛋白肽的见效速度,如何加快胶原蛋白肽的见效速度,尽量早睡让胶原蛋白睡饱，做好防晒避免光老化损伤，采用抗糖化饮食减缓胶原流失，保持好心情，少吃AGES含量高的食物（如烧烤、烘焙、甜品、糖油混合物）。
胶原蛋白肽的口感如何，是否容易适应,"胶原蛋白肽的口感如何
胶原蛋白肽是否容易适应",胶原蛋白肽口感酸酸甜甜，比较好坚持
胶原蛋白肽是晚上睡前喝效果更好，还是白天空腹或饭后喝更好，最佳服用时间是什么时候,胶原蛋白肽是晚上睡前喝效果更好，还是白天空腹或饭后喝更好，最佳服用时间是什么时候,建议睡前喝胶原蛋白肽，因为进入睡眠状态后可以更好地促进胶原蛋白合成，且胶原蛋白的合成主要在夜间进行，夜间是合成胶原蛋白的黄金时间。
升级肽EGCG饮的正确服用方法是什么是否可以空腹饮用，是否需要加热,"升级肽EGCG饮的正确服用方法是什么
升级肽EGCG饮是否可以空腹饮用
升级肽EGCG饮是否需要加热",EGCG升级肽的正确服用方法是每天1瓶，建议在每晚睡前或白天饭后饮用，可直接饮用或兑60度以下少量温水饮用。不建议空腹饮用，因为空腹状态下部分成分可能转化为能量，影响效果，但对人体无任何伤害。根据自己的口感可以直接饮用或兑80-100ml温水，水温建议不超过60℃。(注：肠胃敏感（辛辣冷刺激后腹部不适、腹泻）着建议兑温水服用)
抗糖产品的最佳服用时间是什么，饭前还是饭后，是否需随餐或特定时间饮用,"抗糖产品的最佳服用时间是什么
抗糖产品是饭前服用还是饭后服用
抗糖产品是否需随餐饮用
抗糖产品是否需在特定时间饮用",抗糖产品的最佳服用时间建议在饭前半小时或随餐饮用，优先推荐在每天摄入热量最高或主食最多的一餐前服用，尤其是中午或晚餐前。如果餐前忘记服用，餐后补服也可以。低血糖者不建议空腹服用，可选择随餐饮用。抗糖饮可在餐前半小时或随餐饮用，压片糖果需与饮品一同食用，可用不超过60度的温水冲服。具体服用时间可根据个人饮食安排调整，但效果最佳的是在热量最高的一餐前服用。
抗氧化和抗糖化在抗衰老中的作用、区别及重要性分别是什么,"抗氧化和抗糖化在抗衰老中的作用是什么
抗氧化和抗糖化在抗衰老中的区别是什么
抗氧化和抗糖化在抗衰老中的重要性是什么",抗氧化和抗糖化在抗衰老中具有不同作用和重要性。抗氧化针对自由基，防止胶原蛋白和弹性纤维松弛、脆裂，保护皮肤免受紫外线、污染、压力等导致的氧化应激，其关键措施包括少熬夜、防晒、运动、保持好心情、防辐射以及使用抗糖抗氧化产品。抗糖化则针对AGEs（糖基化终产物），防止糖与蛋白质结合生成AGEs，避免胶原蛋白断裂和皮肤松弛。抗衰老需要结合抗糖、抗氧和防晒。抗氧化比抗糖化更难缠，因为自由基来源广泛，需通过作息规律、防晒、运动、好心情及使用抗糖抗氧化产品来应对。
升级款胶原蛋白肽经期可以喝吗,升级款胶原蛋白肽经期可以喝吗,产品不添加任何的激素和类雌激素成分，经期可以放心喝。
喝酒后多久可以饮用胶原蛋白肽或亢唐饮,"喝酒后多久可以饮用胶原蛋白肽
喝酒后多久可以饮用亢唐饮",喝酒少的话没有影响，喝得多建议间隔2小时再饮用。如果喝酒较少，建议间隔2-3小时再喝；如果喝酒较多，建议间隔24小时后再喝。喝酒或吃中药后，需间隔两小时再喝胶原蛋白。建议喝酒后间隔2小时以上再喝。如果喝得多建议间隔4小时再饮用。
抗糖产品的作用和效果是什么,"抗糖产品的作用是什么
抗糖产品的效果是什么",抗糖产品的作用和效果包括抗糖化和抗氧化，减缓胶原蛋白流失，减少糖化反应，阻断黑色素堆积，改善肤色暗沉暗黄，减少细纹皱纹。其三段式抗糖化功能可多链路抵御AGES损伤，减少糖化产物AGES对皮肤的损伤，锁住胶原蛋白减少流失，改善皮肤暗沉发黄、长痘长斑、毛孔粗大、松弛等问题。抗糖还能减少身体对糖分的吸收，减少糖化反应对皮肤的损伤，作为抗衰产品能防止胶原蛋白流失、皮肤暗沉、发黄、长斑，与胶原蛋白肽搭配有1+1>2的效果，主要作用是抗衰。
哪些人群不建议或禁忌使用胶原蛋白肽,哪些人群不建议或禁忌使用胶原蛋白肽,备孕期、孕期、哺乳期女性不建议使用胶原蛋白肽；鱼类、海鲜、蛋白质过敏人群不建议使用；肾脏代谢异常者不能喝；癌症、肿瘤体质者建议咨询医生后再决定是否使用；糖尿病患者需遵医嘱；喝酒或吃中药后需间隔两小时再喝。
虾青素凝胶糖果的服用方法、注意事项及禁用人群有哪些,虾青素凝胶糖果的服用方法、注意事项及禁用人群有哪些,"虾青素凝胶糖果的服用方法为每天1粒，随餐或餐后15分钟温水吞服；注意事项包括存储方法为密封、避光、置阴凉干燥处保存；禁用人群为孕妇和哺乳期女性，同时鱼类、海鲜类过敏者不建议服用，孕期和哺乳期也不建议服用。
明胶外皮在高温下易发生变形或黏连，是产品特性，请在开封后尽快食用。"
胶原蛋白肽的饮用方式和注意事项有哪些,胶原蛋白肽的饮用方式和注意事项有哪些,胶原蛋白肽的饮用方式为每天1瓶，可在每晚睡前或白天饭后饮用，可直接喝或兑60度以下温水；25岁及以上、经期、压力大熬夜者建议每天1-2支，白天餐后半小时加睡前1支。注意事项包括：鱼类、海鲜、蛋白质过敏者及肾功能代谢异常者禁用；备孕、孕期、哺乳期不建议饮用；癌症、肿瘤患者需咨询医生；糖尿病患者需根据热量遵医嘱饮用；避免与酒类、浓茶类、药物类、咖啡类同服，建议间隔2小时以上，其中喝酒需间隔24小时，吃西药间隔2-4小时，中药遵医嘱，中成药间隔2-4小时；产品是食品级的，对疾病不会产生影响，但出于慎重建议咨询医生。开启后需冷藏(0-6℃)并在24小时内饮用完毕。
虾青素的储存方法是什么,虾青素的储存方法是什么,虾青素的储存方法是密封、避光、置阴凉干燥处保存。
肾脏代谢异常者是否可以饮用胶原蛋白肽,肾脏代谢异常者是否可以饮用胶原蛋白肽,肾脏代谢异常者不能饮用胶原蛋白肽，包括升级款胶原蛋白肽。肾功能异常人群不建议饮用。癌症、肿瘤病史或体质人群建议咨询医生后再决定是否使用。
经典款胶原蛋白肽如何服用,经典款胶原蛋白肽如何服用,经典款胶原蛋白肽建议每晚睡前饮用1支，每天1-2支，可直接饮用或兑温水（温度不超过60度）。25岁及以上、经期、压力大或熬夜人群建议每天1-2支，白天餐后半小时加睡前1支。经期、压力大或熬夜时建议饮用2支。喝酒或吃中药后需间隔两小时再喝。肾脏代谢异常者不能喝，癌症或肿瘤体质者建议咨询医生。可根据个体需求调整饮用时间和用量。
盲盒怎么打开,盲盒怎么打开,盲盒的密码是616，对齐侧边三角形下方或对准密码锁中间一条直线位置，输入该密码即可打开。
喝酒期间或前后是否可以饮用胶原蛋白肽和亢唐饮,"喝酒期间是否可以饮用胶原蛋白肽
喝酒前后是否可以饮用胶原蛋白肽
喝酒期间是否可以饮用亢唐饮
喝酒前后是否可以饮用亢唐饮",喝酒少的话没有问题，可以饮用胶原蛋白肽和亢唐饮，建议间隔2到3小时；如果喝酒较多，建议与产品饮用时间间隔4小时，部分情况下需间隔24小时。
美白精华液如何使用,美白精华液如何使用,美白精华液应在早晚洁面后取适量均匀涂抹于脸部，轻轻按摩至吸收，每天使用1次，每天一支即可，且需在水乳之间使用。初次使用需建立耐受，前3-5天取1-2滴涂抹脸颊边缘并按摩至吸收，无不适后可全脸使用，同时需避开眼周。敏感肌需在耳后做过敏测试，孕妇及哺乳期人群需遵医嘱使用，如出现不适请停止使用。
美白饮的建议饮用时间和方式是什么,美白饮的建议饮用时间和方式是什么,美白饮的建议饮用时间为每天餐后半小时，具体推荐早餐后或中餐后，白天饮用更佳。饮用方式为每天一瓶，开启后应立即饮用或在0-6°C冷藏并于24小时内饮用完毕。餐后饮用有助于益生菌存活率更高，时间相对灵活，但建议白天饮用。
胶原蛋白肽EGCG饮的核心成分、功效及临床实验支持情况如何,"胶原蛋白肽EGCG饮的核心成分是什么
胶原蛋白肽EGCG饮的功效是什么
胶原蛋白肽EGCG饮的临床实验支持情况如何",胶原蛋白肽EGCG饮的核心成分包括每50mL含8000mg胶原蛋白肽、100mg弹性蛋白肽、100mg专利EGCG、500mg壳寡糖、100mg透明质酸钠、专利原料CollaShieldPro（胶原护盾），以及GABA、锌、维生素C和烟酰胺等。其功效为锁水储水、补充胶原、防止流失、促进健康，具有补水、抗衰老、抗皱、美白、改善皮肤代谢和抗炎作用，适用于熟龄肌的胶原续航，综合改善皮肤松弛、细纹等问题。临床实验支持方面，与首都医科大学公共卫生学院合作，历时3个多月（15周），涉及208位受试者，证实可增加皮肤含水量、增强屏障功能，提升皮肤弹性；SGS进行了为期8周的真人实测，结果显示粗糙度改善+28.85%、紧致度改善+34.73%、细纹体积减少-22.14%、角质层含水量提升+38.86%、光泽度提升+89.90%。产品采用先进的胶原吸收技术和CollaShieldPro专利技术提升成分吸收效果。
备孕、孕期、哺乳期及经期是否可以饮用或使用胶原蛋白肽,备孕、孕期、哺乳期及经期是否可以饮用或使用胶原蛋白肽,备孕期间可以正常饮用胶原蛋白肽升级款，但若后续确认怀孕，建议停用其中的虾青素成分，胶原蛋白肽和富铁软糖可继续服用。备孕期、孕期、哺乳期不建议使用胶原蛋白肽及升级款胶原蛋白肽。鱼类、海鲜、蛋白质过敏人群不建议使用，肾脏代谢异常不能喝，癌症、肿瘤体质建议咨询医生。胶原蛋白肽是食品级的，对疾病不会产生影响，但出于慎重考虑建议咨询医生。产品不含激素、类雌激素，经期、备孕期、怀孕期、哺乳期都可以放心饮用。如果处于备孕、孕期或哺乳期阶段，建议选择经典款胶原蛋白肽维C饮；若没有这些情况，建议选择升级款生级肽。
美白精华的使用方法是什么,美白精华的使用方法是什么,美白精华的使用方法是每天使用1次，早或晚洁面后取适量均匀涂抹于脸部，轻轻按摩至吸收。敏感肌初次使用需在耳后做过敏测试，如发现皮肤不适，请停止使用。初次使用需建立耐受，避开眼周。孕妇及哺乳期人群遵医嘱使用。建议从小剂量一两滴开始建立耐受，再逐渐加量。与维A酸、维A醇类产品间隔30分钟，或采用早C晚A方式使用。正常使用时每次1-2吸管，早晚各一次，用在爽肤水和乳液之间。首次使用前建议在耳后测试，如出现不适或过敏应立即停用。前3-5天取1-2滴涂抹脸颊边缘，连续使用3-5天无不适后可全脸使用。
